frame_idx,time_s,joint_idx,joint_name,x,y,z,event_label
0,0.0,0,hip_center,0.000638909637928009,0.0007153357728384435,-0.000270807184278965,
0,0.0,1,right_hip,-0.06968044489622116,-0.00082131422823295,0.014501441270112991,
0,0.0,2,right_knee,-0.1143626868724823,0.24543921649456024,-0.021252620965242386,
0,0.0,3,right_ankle,-0.15997210144996643,0.4755263328552246,0.03666337952017784,
0,0.0,4,left_hip,0.0709577351808548,0.002251974307000637,-0.015042945742607117,
0,0.0,5,left_knee,0.11142154783010483,0.24498452246189117,-0.028852669522166252,
0,0.0,6,left_ankle,0.14625929296016693,0.47089073061943054,0.03481679409742355,
0,0.0,7,spine,0.004133882001042366,-0.11962735652923584,-0.08842408657073975,
0,0.0,8,thorax,0.007629080675542355,-0.2399778515100479,-0.17658308148384094,
0,0.0,9,neck,-0.00795332994312048,-0.2683052718639374,-0.2135791927576065,
0,0.0,10,head,-0.019434191286563873,-0.3001837432384491,-0.2492169737815857,
0,0.0,11,left_shoulder,0.10237155854701996,-0.2400428056716919,-0.16652512550354004,
0,0.0,12,left_elbow,0.09330042451620102,-0.08329038321971893,-0.1563066989183426,
0,0.0,13,left_wrist,0.0740693211555481,0.06955356895923615,-0.14730308949947357,
0,0.0,14,right_shoulder,-0.08660130947828293,-0.22503124177455902,-0.17563927173614502,
0,0.0,15,right_elbow,-0.047364480793476105,-0.06274764239788055,-0.15639257431030273,
0,0.0,16,right_wrist,0.009709753096103668,0.07352152466773987,-0.14524292945861816,
1,0.033367,0,hip_center,0.0006346669979393482,0.0007034327136352658,-0.0002605051267892122,
1,0.033367,1,right_hip,-0.06968693435192108,-0.0008130933856591582,0.014503121376037598,
1,0.033367,2,right_knee,-0.114262156188488,0.24546261131763458,-0.02127993479371071,
1,0.033367,3,right_ankle,-0.15985801815986633,0.47556161880493164,0.036599669605493546,
1,0.033367,4,left_hip,0.07095575332641602,0.0022199423983693123,-0.015024022199213505,
1,0.033367,5,left_knee,0.11150488257408142,0.24493232369422913,-0.028937941417098045,
1,0.033367,6,left_ankle,0.1463567018508911,0.47083187103271484,0.03474745154380798,
1,0.033367,7,spine,0.004148139618337154,-0.11962488293647766,-0.088432677090168,
1,0.033367,8,thorax,0.007661845535039902,-0.23996099829673767,-0.1766105592250824,
1,0.033367,9,neck,-0.007865166291594505,-0.26834020018577576,-0.21359026432037354,
1,0.033367,10,head,-0.01931886002421379,-0.30023816227912903,-0.2492193579673767,
1,0.033367,11,left_shoulder,0.10239878296852112,-0.24005429446697235,-0.16650089621543884,
1,0.033367,12,left_elbow,0.09336257725954056,-0.0833006501197815,-0.15627016127109528,
1,0.033367,13,left_wrist,0.0741017609834671,0.06954072415828705,-0.1472862958908081,
